"Quartal","pWerte","pWerteKorrigiert","Korrelation"
"2015-1",0.241359591243873,0.298150083301254,-0.105989137221027
"2015-2",0.61863612835245,0.61863612835245,0.0449522625873089
"2015-3",0.11436717211804,0.162889130278808,0.141357962205871
"2015-4",0.406191603910165,0.448948614848077,0.0740421096941483
"2016-1",0.0579150260370734,0.104802597470014,0.167412624819494
"2016-2",0.461006054413511,0.484056357134187,-0.0649632364537552
"2016-3",0.00243016429829545,0.0140302750118362,0.261765742637712
"2016-4",0.156054983821161,0.204822166265274,0.123223653054549
"2017-1",0.0542806863036617,0.104802597470014,0.166655932512003
"2017-2",0.00195136828838714,0.0140302750118362,0.263337685649246
"2017-3",0.00931594961064253,0.0279478488319276,0.220619255005103
"2017-4",0.0598871985542935,0.104802597470014,0.160012208754111
"2018-1",0.0309935333007225,0.0723182443683524,0.182415830531813
"2018-2",0.00267243333558785,0.0140302750118362,0.251077659853183
"2018-3",0.116349378770577,0.162889130278808,0.132837365464812
"2018-4",0.0176828119343892,0.0464173813277717,0.198835578706979
"2019-1",0.282977383314577,0.330140280533673,0.0903929305259419
"2019-2",0.0802951083938278,0.129707482790029,0.146237957697154
"2019-3",0.00392574161032531,0.0147041895838633,0.238114824962738
"2019-4",0.00420119702396095,0.0147041895838633,0.234801453108148
"2020-1",8.26576834089014e-05,0.00173581135158693,0.317846140003341
