"Quartal","pWerte","pWerteKorrigiert","Korrelation"
"2015-1",0.00231598555300823,0.00374120743178252,0.271176034163379
"2015-2",0.000223873068279691,0.000587666804234189,0.324369932679034
"2015-3",1.60730606588202e-06,1.12511424611741e-05,0.412325251276992
"2015-4",0.0284656786496548,0.0314620658759343,0.193704191164718
"2016-1",2.49337430636109e-07,5.2360860433583e-06,0.435513224908664
"2016-2",0.00034949010404832,0.000815476909446081,0.30773064465801
"2016-3",0.0254367702300957,0.0296762319351117,0.194494569170036
"2016-4",0.00675910618976711,0.00949972674247512,0.232932250973148
"2017-1",8.25854793959143e-06,4.3357376682855e-05,0.374539121617204
"2017-2",0.000161373639090147,0.000484120917270441,0.318016870215277
"2017-3",0.0194973768455023,0.024084994926797,0.198664297978852
"2017-4",0.000931322473416274,0.00177797926743107,0.277754295115211
"2018-1",0.00678551910176794,0.00949972674247512,0.227824996760825
"2018-2",0.0188140224790172,0.024084994926797,0.197641640076745
"2018-3",0.0892849685403643,0.0892849685403643,0.143632505436504
"2018-4",7.72557707991719e-05,0.000324474237356522,0.325505165818585
"2019-1",9.37036892583034e-05,0.000327962912404062,0.320803364602599
"2019-2",0.00132010753107343,0.0023101881793785,0.265135341785767
"2019-3",0.0391273512928176,0.0410837188574584,0.171522792847021
"2019-4",0.000846266356220023,0.00177715934806205,0.272350600053406
"2020-1",1.3151750976306e-06,1.12511424611741e-05,0.385430706766519
